logged_at,run_id,world,elapsed_seconds,start_population,final_population,start_base_damage,final_base_damage,start_shot_damage,final_shot_damage,start_fire_rate,final_fire_rate,start_volley_multiplier,final_volley_multiplier,start_dps,final_dps,dps_growth,gold_before_reward,enemy_kills,cards
20260910-203211-241170,20260910-202348-814459,4,94.571,8,17005,18.0,18.0,144.0,2907855.0,8.0,12.0,1.0,1.0,1152.0,34894260.0,30290.1562,144,94,damage_plus;growth_recovery;dividend;card_deal;composure;growth_population+overload
20260910-203422-400976,20260910-202348-814459,5,97.306,21,21262,18.0,18.0,415.8,1129012.2,8.4,8.4,1.0,1.0,3492.72,9483702.48,2715.2771,250,125,damage_plus;growth_recovery;card_deal;composure;growth_core;growth_population+overload
20260910-204152-381280,20260910-204012-678981,1,98.787,1,2154,10.0,10.0,10.0,21540.0,8.0,8.0,1.0,1.0,80.0,172320.0,2154.0,14,69,
20260910-204408-661510,20260910-204012-678981,2,102.946,1,1158,10.0,10.0,10.6,12274.8,9.28,9.464,1.0,1.0,98.368,116168.7072,1180.9603,22,81,population_fire+fire_rate;growth_arsenal+overload
20260910-204645-112201,20260910-204012-678981,3,103.353,1,3897,10.0,10.0,11.2,43646.4,10.56,14.776,1.0,1.0,118.272,644919.2064,5452.8477,29,99,population_fire+fire_rate;elite_harvest;ramp_fire+fire_rate;dividend;growth_arsenal+overload;high_population+overload
20260910-205050-739263,20260910-204911-247164,1,99.508,1,1066,10.0,10.0,10.0,14391.0,8.0,8.0,1.0,1.0,80.0,115128.0,1439.1,14,68,
20260910-205240-465103,20260910-204911-247164,2,96.253,1,3589,10.0,10.0,10.6,38043.4,8.48,13.048,1.0,1.0,112.36,620487.854,5522.3198,17,79,vampire;population_fire;growth_arsenal;critical_focus
20260910-205442-577873,20260910-204911-247164,3,97.609,9,7134,12.0,12.0,120.96,95880.96,8.96,10.096,1.0,1.0,1354.752,1210017.7152,893.1655,35,90,vampire;population_fire;growth_arsenal;critical_focus;recruit+damage
20260910-205732-607605,20260910-204911-247164,4,96.014,8,10209,11.0,11.0,103.84,183047.37,10.24,10.24,1.0,1.0,1594.9824,2811607.6032,1762.7828,21,105,vampire;growth_arsenal;critical_focus;critical_power_0+population;rich_damage;fire_rate+overload;refresh_deal+overload
20260910-205954-316283,20260910-204911-247164,5,92.841,3,38562,12.0,12.0,48.24,689488.56,11.792,11.792,1.0,1.0,1422.1152,20326122.7488,14292.8806,56,123,growth_arsenal;critical_focus;rich_damage;critical_power_ultra;critical_power;fire_rate+overload
20260910-210207-606648,20260910-204911-247164,6,98.812,3,7387,12.0,12.0,57.6,196789.68,12.32,16.72,1.0,1.0,1064.448,4935485.1744,4636.6616,140,165,growth_arsenal;rich_damage;critical_power_ultra;critical_power;elite_decree;fire_rate+overload
20260910-210437-683210,20260910-204911-247164,7,105.202,3,12293,12.0,12.0,74.16,418945.44,12.848,12.848,1.0,1.0,1429.2115,8073916.5197,5649.2104,245,232,growth_arsenal;rich_damage;critical_power_ultra;elite_decree;critical_power;fire_rate+overload
20260910-210710-486092,20260910-204911-247164,8,99.061,7,18313,13.0,13.0,229.32,880855.3,15.808,15.808,1.0,1.0,4531.3632,17405700.728,3841.1621,402,307,growth_arsenal;rich_damage;critical_power_ultra;elite_decree;decapitate;fire_rate+overload;gate_master+overload
20260910-224601-932401,20260910-224336-737460,1,100.418,1,1588,10.0,10.0,10.0,15880.0,8.0,8.0,1.0,1.0,80.0,127040.0,1588.0,14,73,
20260910-224758-453099,20260910-224336-737460,2,95.055,1,2578,10.0,10.0,10.5,37381.0,8.0,8.0,1.0,1.0,84.0,299048.0,3560.0952,29,80,vampire;rich_damage
20260910-225143-236026,20260910-224336-737460,3,103.93,1,2290,11.0,11.0,22.0,26449.5,10.4,10.76,1.0,1.0,257.4,320171.1975,1243.8663,17,94,rich_damage;critical_chance+fire_rate;growth_fire+fire_rate;growth_damage;population_fire+overload;low_population+overload
20260910-225401-641792,20260910-224336-737460,4,103.666,3,3875,12.0,12.0,37.8,53475.0,14.4,15.1392,1.0,1.0,680.4,1011960.9,1487.3029,32,112,rich_damage;critical_chance+fire_rate;growth_fire+fire_rate;critical_power_0;fire_rate;population_fire+overload
20260910-225635-776387,20260910-224336-737460,5,99.467,3,4659,13.0,13.0,42.9,90850.5,14.4,16.1856,1.0,1.0,849.42,2021896.0476,2380.3255,39,127,rich_damage;critical_chance+fire_rate;growth_fire+fire_rate;critical_focus;population_fire;population_fire+overload
20260910-225839-690993,20260910-224336-737460,6,96.42,3,19625,14.0,14.0,46.2,541257.5,14.4,21.9264,1.9,1.9,1264.032,22548874.0512,17838.8475,85,170,rich_damage;growth_fire+fire_rate;population_fire;elite_decree;shotgun;population_fire+overload
20260910-230050-374887,20260910-224336-737460,7,94.101,11,486047,39.0,39.0,429.0,23126116.26,6.444,22.044,1.9,1.9,5252.5044,968605002.9873,184408.2231,115,207,growth_fire+fire_rate;population_fire;elite_decree;shotgun;heavy_ca;population_fire+overload;medicine+overload
20260910-230315-698876,20260910-224336-737460,8,94.774,13,3204156,40.0,40.0,520.0,164052787.2,9.756,23.356,1.9,1.9,9638.928,7280072105.9021,755278.1913,89,311,growth_fire+fire_rate;population_fire;elite_decree;shotgun;heavy_ca;population_fire+overload;medicine+overload
20260910-232708-195315,20260910-232530-528493,1,97.683,1,2280,10.0,10.0,10.0,22800.0,8.0,8.0,1.0,1.0,80.0,182400.0,2280.0,14,71,
20260910-233026-062164,20260910-232530-528493,2,96.026,6,8912,11.0,11.0,66.0,98032.0,8.0,8.0,1.0,1.0,528.0,784256.0,1485.3333,35,79,fast_bullet+damage;vampire;saving+population
20260910-233225-425189,20260910-232530-528493,3,91.836,16,30899,11.0,11.0,176.0,2039334.0,8.0,12.0,1.0,1.0,1408.0,24472008.0,17380.6875,77,91,fast_bullet+damage;vampire;saving+population;phase_move+population;still_shot+population
20260910-233508-444485,20260910-232530-528493,4,100.417,20,2135,2.4,2.4,48.0,32537.4,9.6,57.6,1.0,1.0,460.8,1874154.24,4067.175,116,108,vampire;saving+population;phase_move+population;still_shot+population;ramp_fire_pla
20260910-233724-622565,20260910-232530-528493,5,92.222,28,77053,16.0,16.0,492.8,7520372.8,10.08,10.08,1.0,1.0,4967.424,75805357.824,15260.4968,93,124,vampire;saving+population;phase_move+population;still_shot+population;growth_core
20260910-233934-696632,20260910-232530-528493,6,95.006,36,224615,17.0,17.0,948.6,25965494.0,12.32,17.92,1.0,1.0,11686.752,465301652.48,39814.4542,122,158,saving+population;phase_move+population;still_shot+population;growth_core;rich_damage+damage
20260910-234139-406993,20260910-232530-528493,7,92.066,39,1416305,17.0,17.0,1326.0,178171169.0,12.88,12.88,1.0,1.0,17078.88,2294844656.72,134367.3974,223,205,phase_move+population;still_shot+population;growth_core;rich_damage+damage;elite_harvest
20260910-234458-208703,20260910-232530-528493,8,91.742,53,144664950,29.2,29.2,3714.24,34849786455.0,2.62,62.62,1.0,1.0,9731.3088,2182293627812.1006,224254894.4508,309,303,phase_move+population;still_shot+population;growth_core;rich_damage+damage;heavy_ca;ramp_fire_pla+overload
20260912-002012-514543,20260912-001833-043672,1,99.487,1,1334,10.0,10.0,10.0,13340.0,8.0,8.0,1.0,1.0,80.0,106720.0,1334.0,14,70,
20260912-002338-245936,20260912-001833-043672,2,93.416,1,7863,11.0,11.0,11.0,86493.0,8.0,8.0,1.5,1.5,165.0,1297395.0,7863.0,14,79,triple_shot+damage;critical_focus;warning+overload
